0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.258788329,0.775945939,0.626990959,0.861875108,-0.196518135,0.755371988,-0.314062228,-0.020451441,0.777348557,-0.225311837,-0.077248619,0.774651652,-0.222557626,-0.02892289,0.745706129,-0.221898502,0.050216237,0.683650111,-0.719695607,0.978940512,0.994371151,0.999663472
0.234647083,0.780699252,0.630122493,0.859922206,-0.178080612,0.693586982,-0.217757643,-0.001276937,0.802811728,-0.190426637,-0.00550823,0.817645255,-0.239831892,0.053816032,0.778988502,-0.230452088,0.134741669,0.722347744,-0.493696086,0.998601507,0.991967436,0.995487644
0.304135558,0.777537568,0.632317103,0.858137003,-0.148141568,0.834066365,-0.1462148,0.095507758,0.752922465,-0.211113654,0.091100727,0.759952769,-0.25719029,0.100369096,0.762059707,-0.237874394,0.136716114,0.737390821,-0.692430181,0.99992274,0.992529842,0.997454174
0.229432125,0.779955106,0.628914643,0.86075461,-0.1822535,0.713484689,-0.239341653,-0.019889523,0.82126532,-0.192340683,-0.010045809,0.80817006,-0.230854208,0.039139731,0.780316416,-0.222318718,0.121864873,0.724586482,-0.533229423,0.997602917,0.991763588,0.995150498
0.274228449,0.779526545,0.630819842,0.859418338,-0.175426876,0.784860555,-0.194006666,0.015959186,0.792771422,-0.209145248,-0.000510573,0.811720307,-0.25084229,0.018005972,0.80990557,-0.226111225,0.088310352,0.742147828,-0.619228719,0.998915093,0.989915592,0.997561326
0.319980847,0.778395049,0.630252974,0.858769966,-0.158245005,0.81780529,-0.271760103,0.013594759,0.812199627,-0.256434198,0.00404785,0.785558489,-0.274732119,0.028978028,0.775341191,-0.229615043,0.083816231,0.710799608,-0.806939699,0.988923157,0.99387091,0.998096898
0.317130453,0.778646188,0.63123871,0.859170616,-0.126945488,0.868263583,-0.180308956,0.025427116,0.746113068,-0.238261151,-0.018423058,0.792117513,-0.291549473,-0.012694917,0.78486416,-0.270104515,0.046228764,0.754648889,-0.766593977,0.998715717,0.99169075,0.996114382
0.323527307,0.775854692,0.63363235,0.857969649,-0.057884766,0.900929814,-0.111776186,0.071019323,0.788962093,-0.211371615,0.052266859,0.743845492,-0.267593084,0.048224331,0.736385513,-0.223725036,0.056919053,0.710783292,-0.873354828,0.991744914,0.994703905,0.998118358
0.279550509,0.779829579,0.632984307,0.859325445,-0.109021723,0.836782279,-0.170242497,0.046563498,0.789798567,-0.228117705,0.027703899,0.756332515,-0.267995575,0.039686948,0.740998692,-0.24021478,0.08623764,0.687798529,-0.758459322,0.996898081,0.9933167,0.998814507
0.292787542,0.777745058,0.629886439,0.859391894,-0.215824668,0.832640625,-0.281676284,0.039586445,0.746573903,-0.246605461,-0.005632035,0.694511676,-0.256499268,0.040077573,0.674740726,-0.221783891,0.105101876,0.62650209,-0.806077462,0.975615256,0.993909509,0.998423728
